year,class,emirate,nationality,guests,nights
1992,4 star,sharjah,Yemen,221,1680
1992,3 star ,sharjah,Yemen,0,0
1992,2 star,sharjah,Yemen,0,0
1992,5 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1992,4 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1992,3 star , Ajman and Umm Al-Qiwain,Yemen,0,0
1992,2 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1992,5 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1992,4 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1992,3 star ,  Ras Al Khaima & Fujeira ,Yemen,0,0
1992,2 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1991,5 star,abu dhabi,Yemen,280,816
1991,4 star,abu dhabi,Yemen,586,1958
1991,3 star ,abu dhabi,Yemen,174,266
1991,2 star,abu dhabi,Yemen,0,0
1991,5 star,dubai,Yemen,146,317
1991,4 star,dubai,Yemen,151,381
1991,3 star ,dubai,Yemen,450,600
1991,2 star,dubai,Yemen,2282,3928
1991,5 star,sharjah,Yemen,850,1716
1991,4 star,sharjah,Yemen,276,529
1991,3 star ,sharjah,Yemen,0,0
1991,2 star,sharjah,Yemen,0,0
1991,5 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1991,4 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1991,3 star , Ajman and Umm Al-Qiwain,Yemen,0,0
1991,2 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1991,5 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1991,4 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1991,3 star ,  Ras Al Khaima & Fujeira ,Yemen,0,0
1991,2 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1990,5 star,abu dhabi,Yemen,533,1254
1990,4 star,abu dhabi,Yemen,1062,5384
1990,3 star ,abu dhabi,Yemen,193,237
1990,2 star,abu dhabi,Yemen,0,0
1990,5 star,dubai,Yemen,497,972
1990,4 star,dubai,Yemen,712,2373
1990,3 star ,dubai,Yemen,1167,1931
1990,2 star,dubai,Yemen,2339,7730
1990,5 star,sharjah,Yemen,2969,5400
1990,4 star,sharjah,Yemen,507,1848
1990,3 star ,sharjah,Yemen,0,0
1990,2 star,sharjah,Yemen,0,0
1990,5 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1990,4 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1990,3 star , Ajman and Umm Al-Qiwain,Yemen,0,0
1990,2 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1990,5 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1990,4 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1990,3 star ,  Ras Al Khaima & Fujeira ,Yemen,0,0
1990,2 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1989,5 star,abu dhabi,Yemen,580,1356
1989,4 star,abu dhabi,Yemen,1154,2656
1989,3 star ,abu dhabi,Yemen,0,0
1989,2 star,abu dhabi,Yemen,0,0
1989,5 star,dubai,Yemen,1219,1873
1989,4 star,dubai,Yemen,905,3057
