year,class,item,emirate,nationality,value
1987,4star,nights,Ajman and Umm Al-Qiwain,India,0
1987,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1987,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1987,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1987,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1987,5 star,guests,Ras Al Khaima & Fujeira,India,0
1987,5 star,nights,Ras Al Khaima & Fujeira,India,0
1987,4 star,guests,Ras Al Khaima & Fujeira,India,0
1987,4star,nights,Ras Al Khaima & Fujeira,India,0
1987,3 star,guests,Ras Al Khaima & Fujeira,India,0
1987,3 star,nights,Ras Al Khaima & Fujeira,India,0
1987,2 star,guests,Ras Al Khaima & Fujeira,India,0
1987,2 star,nights,Ras Al Khaima & Fujeira,India,0
1986,5 star,guests,abu dhabi,India,3310
1986,5 star,nights,abu dhabi,India,5635
1986,4 star,guests,abu dhabi,India,6103
1986,4star,nights,abu dhabi,India,12099
1986,3 star,guests,abu dhabi,India,0
1986,3 star,nights,abu dhabi,India,0
1986,2 star,guests,abu dhabi,India,0
1986,2 star,nights,abu dhabi,India,0
1986,5 star,guests,dubai,India,16206
1986,5 star,nights,dubai,India,29577
1986,4 star,guests,dubai,India,19655
1986,4star,nights,dubai,India,47816
1986,3 star,guests,dubai,India,4765
1986,3 star,nights,dubai,India,14156
1986,2 star,guests,dubai,India,223
1986,2 star,nights,dubai,India,717
1986,5 star,guests,sharjah and ajman,India,3292
1986,5 star,nights,sharjah and ajman,India,11302
1986,4 star,guests,sharjah and ajman,India,1901
1986,4star,nights,sharjah and ajman,India,11036
1986,3 star,guests,sharjah and ajman,India,0
1986,3 star,nights,sharjah and ajman,India,0
1986,2 star,guests,sharjah and ajman,India,0
1986,2 star,nights,sharjah and ajman,India,0
1986,5 star,guests,Umm Al-Qiwain,India,0
1986,5 star,nights,Umm Al-Qiwain,India,0
1986,4 star,guests,Umm Al-Qiwain,India,0
1986,4star,nights,Umm Al-Qiwain,India,0
1986,3 star,guests,Umm Al-Qiwain,India,0
1986,3 star,nights,Umm Al-Qiwain,India,0
1986,2 star,guests,Umm Al-Qiwain,India,0
1986,2 star,nights,Umm Al-Qiwain,India,0
1986,5 star,guests,Ras Al Khaima & Fujeira,India,0
1986,5 star,nights,Ras Al Khaima & Fujeira,India,0
1986,4 star,guests,Ras Al Khaima & Fujeira,India,0
1986,4star,nights,Ras Al Khaima & Fujeira,India,0
1986,3 star,guests,Ras Al Khaima & Fujeira,India,0
1986,3 star,nights,Ras Al Khaima & Fujeira,India,0
1986,2 star,guests,Ras Al Khaima & Fujeira,India,0
1986,2 star,nights,Ras Al Khaima & Fujeira,India,0
1885,5 star,guests,abu dhabi,India,2407
1885,5 star,nights,abu dhabi,India,4491
1885,4 star,guests,abu dhabi,India,5569
1885,4star,nights,abu dhabi,India,14001
1885,3 star,guests,abu dhabi,India,0
1885,3 star,nights,abu dhabi,India,0
1885,2 star,guests,abu dhabi,India,0
1885,2 star,nights,abu dhabi,India,0
1885,5 star,guests,dubai,India,14676
1885,5 star,nights,dubai,India,25332
1885,4 star,guests,dubai,India,18241
1885,4star,nights,dubai,India,40306
1885,3 star,guests,dubai,India,3615
1885,3 star,nights,dubai,India,12450
1885,2 star,guests,dubai,India,354
1885,2 star,nights,dubai,India,902
1885,5 star,guests,sharjah and ajman,India,4111
1885,5 star,nights,sharjah and ajman,India,13376
1885,4 star,guests,sharjah and ajman,India,1396
1885,4star,nights,sharjah and ajman,India,8880
1885,3 star,guests,sharjah and ajman,India,0
1885,3 star,nights,sharjah and ajman,India,0
1885,2 star,guests,sharjah and ajman,India,0
1885,2 star,nights,sharjah and ajman,India,0
1885,5 star,guests,Umm Al-Qiwain,India,0
1885,5 star,nights,Umm Al-Qiwain,India,0
1885,4 star,guests,Umm Al-Qiwain,India,0
1885,4star,nights,Umm Al-Qiwain,India,0
1885,3 star,guests,Umm Al-Qiwain,India,0
1885,3 star,nights,Umm Al-Qiwain,India,0
1885,2 star,guests,Umm Al-Qiwain,India,0
1885,2 star,nights,Umm Al-Qiwain,India,0
1885,5 star,guests,Ras Al Khaima & Fujeira,India,0
1885,5 star,nights,Ras Al Khaima & Fujeira,India,0
1885,4 star,guests,Ras Al Khaima & Fujeira,India,0
1885,4star,nights,Ras Al Khaima & Fujeira,India,0
1885,3 star,guests,Ras Al Khaima & Fujeira,India,0
1885,3 star,nights,Ras Al Khaima & Fujeira,India,0
1885,2 star,guests,Ras Al Khaima & Fujeira,India,0
1885,2 star,nights,Ras Al Khaima & Fujeira,India,0
2005,5 star,guests,abu dhabi,India,15783
2005,5 star,nights,abu dhabi,India,27333
2005,4 star,guests,abu dhabi,India,37866
2005,4star,nights,abu dhabi,India,2424
2005,3 star,guests,abu dhabi,India,47961
2005,3 star,nights,abu dhabi,India,14504
2005,2 star,guests,abu dhabi,India,-
2005,2 star,nights,abu dhabi,India,-
2005,5 star,guests,dubai,India,43182
2005,5 star,nights,dubai,India,88434
2005,4 star,guests,dubai,India,63664
2005,4star,nights,dubai,India,123165
2005,3 star,guests,dubai,India,133050
2005,3 star,nights,dubai,India,338931
2005,2 star,guests,dubai,India,38893
2005,2 star,nights,dubai,India,115497
